Data operacji;Data waluty;Typ transakcji;Kwota;Waluta;Lokalizacja
2018-04-26;2018-04-25;Płatność kartą;-4.4;PLN;Lokalizacja:     KIOSK RUCHU
2018-04-26;2018-04-24;Płatność kartą;-5.24;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-04-27;2018-04-26;Płatność kartą;-3.79;PLN;Lokalizacja:  Ostroleka  ORLEN
2018-04-27;2018-04-25;Płatność kartą;-10.94;PLN;Lokalizacja:  SUWALKI  JMP S.A. BIEDRONKA 3041
2018-04-29;2018-04-28;Płatność kartą;-97.29;PLN;Lokalizacja:  Glinianka  ORLEN 01
2018-04-29;2018-04-27;Płatność kartą;-20.15;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-04-29;2018-04-27;Płatność kartą;-13;PLN;Lokalizacja:     CENTRAL LINK Sp. z o.o.
2018-04-30;2018-04-30;Opłata;-6.9;PLN;
2018-04-30;2018-04-28;Płatność kartą;-108.94;PLN;Lokalizacja:     TESCO KEN 7 KASA
2018-05-01;2018-04-30;Płatność kartą;-6;PLN;Lokalizacja:     McDonalds 12
2018-05-02;2018-05-01;Płatność kartą;-107.99;PLN;Lokalizacja:     ORLEN 01
2018-05-02;2018-05-02;Opłata;-0.7;PLN;
2018-05-02;2018-04-30;Płatność kartą;-0.32;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-05-03;2018-05-02;Płatność kartą;-11;PLN;Lokalizacja:     McDonalds 05
2018-05-03;2018-05-02;Płatność kartą;-12.5;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-05-04;2018-05-02;Płatność kartą;-15.4;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-05-04;2018-05-02;Płatność kartą;-280;PLN;Lokalizacja:     AUT BILET 2410300
2018-05-07;2018-05-06;Płatność kartą;-6;PLN;Lokalizacja:     McDonalds 427  
2018-05-07;2018-04-27;Płatność kartą;-15;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-05-08;2018-05-07;Płatność kartą;-9;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-05-09;2018-05-08;Płatność kartą;-7.5;PLN;Lokalizacja:     McDonalds 464  
2018-05-09;2018-05-07;Płatność kartą;-50.9;PLN;Lokalizacja:     H AND M NR 120 KASA 7
2018-05-11;2018-05-10;Płatność kartą;-12.5;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-05-11;2018-05-09;Płatność kartą;-13.76;PLN;Lokalizacja:     SKLEP SPORTOWN.PL
2018-05-12;2018-05-11;Płatność kartą;-40.34;PLN;Lokalizacja:     Pizza Hut 08
2018-05-12;2018-05-11;Płatność kartą;-8;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-05-12;2018-05-10;Płatność kartą;-44.06;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-05-12;2018-05-10;Płatność kartą;-420.98;PLN;Lokalizacja:     DECATHLON REDUTA
